Format ID,AWSID,Year,Month,Day,Hour,Minute,MotusID,GNSSLowI,Lat_Low,Long_Low,GNSSHighI,Lat_High,Long_High,MultiMsgI,MsgNo,NoofMsg,StatsI,Hm0,WPDir,WPDirSwell,WMDir,WPDirWind,Tm02,Tp,Tswell,Twind,Hswell,Hwind,Hmax,Hcrest,Htrough,Tmax,Tz,H13,WMSpr,EngI,Vin,Iin,SpectralI,NoHzB,B1E,B1A1,B1A2,B1B1,B1B2,K1,B2E,B2A1,B2A2,B2B1,B2B2,K2,B3E,B3A1,B3A2,B3B1,B3B2,K3,B4E,B4A1,B4A2,B4B1,B4B2,K4,B5E,B5A1,B5A2,B5B1,B5B2,K5,B6E,B6A1,B6A2,B6B1,B6B2,K6,B7E,B7A1,B7A2,B7B1,B7B2,K7,B8E,B8A1,B8A2,B8B1,B8B2,K8,B9E,B9A1,B9A2,B9B1,B9B2,K9,B10E,B10A1,B10A2,B10B1,B10B2,K10,B11E,B11A1,B11A2,B11B1,B11B2,K11,B12E,B12A1,B12A2,B12B1,B12B2,K12,B13E,B13A1,B13A2,B13B1,B13B2,K13,B14E,B14A1,B14A2,B14B1,B14B2,K14,B15E,B15A1,B15A2,B15B1,B15B2,K15,B16E,B16A1,B16A2,B16B1,B16B2,K16,B17E,B17A1,B17A2,B17B1,B17B2,K17,B18E,B18A1,B18A2,B18B1,B18B2,K18,B9E,B19A1,B19A2,B19B1,B19B2,K19,B20E,B20A1,B20A2,B20B1,B20B2,K20,B21E,B21A1,B21A2,B21B1,B21B2,K21,B22E,B22A1,B22A2,B22B1,B22B2,K22,B23E,B23A1,B23A2,B23B1,B23B2,K23,B24E,B24A1,B24A2,B24B1,B24B2,K24,B25E,B25A1,B25A2,B25B1,B25B2,K25,B26E,B26A1,B26A2,B26B1,B26B2,K26,B27E,B27A1,B27A2,B27B1,B27B2,K27,B28E,B28A1,B28A2,B28B1,B28B2,K28,B29E,B29A1,B29A2,B29B1,B29B2,K29,B30E,B30A1,B30A2,B30B1,B30B2,K30,B31E,B31A1,B31A2,B31B1,B31B2,K31,B32E,B32A1,B32A2,B32B1,B32B2,K32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,62047,2026,5,17,23,0,133,1,49.91,-2.89,0,0,0,0,0,0,1,1.5,257,292,270,257,4.3,5.4,14.2,5.4,0.5,1.4,2.1,1.1,1.4,9.3,4.3,1.4,36,1,11.4,39,1,32,0.018,-0.112,-0.1729,0.0656,-0.0315,0.05,0.002,0.0585,-0.0699,0.2085,-0.3743,0.02,0.008,-0.3212,0.034,0.0491,-0.2009,0.07,0.057,-0.3484,-0.1204,-0.1569,-0.366,0.21,0.391,-0.1351,-0.2539,-0.2971,-0.0976,0.54,0.631,0.2354,-0.1394,-0.4303,-0.2433,0.65,0.32,0.0399,-0.3733,-0.5968,-0.1214,0.58,0.265,0.0705,-0.2185,-0.5565,-0.1162,0.58,0.196,0.1044,-0.2281,-0.4032,-0.0212,0.53,0.303,0.0025,-0.4167,-0.1063,-0.32,0.43,0.331,0.0409,-0.0253,0.0706,0.0987,0.25,0.476,0.047,-0.3306,-0.3461,0.0759,0.22,0.261,-0.2462,0.3761,-0.112,-0.237,0.19,0.455,-0.1479,-0.401,-0.5429,0.3049,0.35,0.565,-0.0762,-0.3784,-0.6491,-0.0352,0.5,0.966,-0.1892,-0.5223,-0.7549,0.2571,0.64,0.777,-0.0132,-0.7034,-0.8662,0.0078,0.6,0.572,-0.1553,-0.3269,-0.7149,0.1191,0.64,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,62047,2026,5,18,0,0,133,1,49.91,-2.89,0,0,0,0,0,0,1,1.5,259,252,254,259,4.8,5,14.2,5,0.5,1.4,2.1,1.2,1,5.5,4.8,1.2,25,1,11.4,39,1,32,0.027,0.1982,0.5573,-0.0865,-0.6494,0.05,0.008,-0.0758,0.6912,0.0707,-0.1296,0.05,0.013,-0.3711,0.7854,-0.0117,0.053,0.07,0.051,-0.2274,0.734,-0.0467,0.278,0.16,0.389,-0.1309,0.2719,-0.4074,0.5252,0.44,0.433,-0.1949,-0.3906,-0.6156,0.4382,0.53,0.216,-0.0055,-0.1077,-0.3777,0.479,0.41,0.335,-0.0711,-0.2479,-0.6198,0.48,0.66,0.432,-0.1991,-0.2056,-0.4269,0.6391,0.6,0.401,-0.2267,-0.3328,-0.3824,0.5525,0.54,0.407,0.0764,-0.0415,-0.0777,0.2787,0.51,0.636,-0.107,-0.1422,-0.256,0.9151,0.29,0.568,-0.4598,-0.2373,-0.6113,0.8372,0.29,0.697,-0.5323,-0.0249,-0.5129,0.742,0.37,0.494,-0.2266,-0.2489,-0.5231,0.2214,0.47,0.889,-0.2529,-0.4555,-0.7167,0.2468,0.54,1.028,-0.1551,-0.665,-0.792,0.2976,0.71,0.767,-0.1878,-0.5357,-0.7469,0.3004,0.77,0.541,-0.1,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,62047,2026,5,18,1,0,133,1,49.91,-2.9,0,0,0,0,0,0,1,1.3,235,307,249,235,5,5.4,15.1,5.4,0.5,1.2,1.8,0.9,1,5,4.9,1,15,1,11.4,39,1,32,0.016,0.4112,0.1814,-0.4216,-0.8851,0.09,0.011,0.6148,0.5455,-0.3977,-0.7299,0.07,0.02,0.4551,0.8022,-0.248,-0.2874,0.1,0.084,0.1097,0.7684,-0.2197,0.3257,0.2,0.609,0.3112,0.5089,-0.3562,0.1638,0.47,0.422,0.1047,0.4097,-0.3951,0.4405,0.41,0.296,0.0281,-0.1438,-0.4772,0.5055,0.52,0.18,-0.129,0.0594,-0.4068,0.7249,0.41,0.197,-0.0079,-0.2101,-0.3083,0.6563,0.53,0.325,-0.1416,-0.1946,-0.47,0.7677,0.51,0.404,-0.0049,-0.3107,-0.3433,0.7111,0.55,0.557,-0.1271,-0.2389,-0.469,0.809,0.49,0.391,-0.2006,-0.1423,-0.4191,0.878,0.4,0.616,-0.4201,-0.3287,-0.6776,0.9067,0.32,0.723,-0.4619,-0.332,-0.682,0.8728,0.37,0.781,-0.4448,-0.314,-0.7159,0.8249,0.49,0.528,-0.4155,-0.4655,-0.7804,0.6982,0.43,0.547,-0.431,-0.4571,-0.7262,0.6891,0.5,0.376,-0.2391,0,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,62047,2026,5,18,2,0,133,1,49.91,-2.9,0,0,0,0,0,0,1,1.3,251,292,254,251,5,6.9,13.5,6.9,0.4,1.3,1.8,0.9,0.9,6,4.9,1,26,1,11.4,39,1,32,0.014,0.4952,0.4163,-0.2568,-0.731,0.1,0.019,0.3812,0.2776,-0.3064,-0.6427,0.14,0.019,0.5399,0.4602,-0.3904,-0.6271,0.14,0.047,0.2916,0.2276,-0.4526,-0.2133,0.31,0.17,-0.1964,0.3355,-0.3137,0.2059,0.51,0.414,0.2211,-0.1021,-0.4021,-0.1886,0.69,0.261,0.1014,0.0897,-0.4212,0.3607,0.52,0.145,0.0089,-0.2084,-0.2458,0.6943,0.41,0.405,0.0173,-0.4194,-0.288,0.7746,0.55,0.274,-0.0224,-0.5141,-0.3089,0.6766,0.46,0.459,-0.1514,-0.4069,-0.4119,0.8397,0.49,0.752,-0.1154,-0.5147,-0.4238,0.7576,0.41,0.595,-0.1956,-0.4756,-0.4693,0.7876,0.31,0.409,-0.2557,-0.5184,-0.6147,0.7046,0.31,0.743,-0.2855,-0.5647,-0.6673,0.7329,0.35,0.78,-0.3481,-0.6515,-0.7825,0.6691,0.37,0.58,-0.3876,-0.543,-0.7519,0.7349,0.37,0.516,-0.2942,-0.6737,-0.7758,0.5977,0.4,0.442,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,62047,2026,5,18,3,0,133,1,49.91,-2.9,0,0,0,0,0,0,1,1.3,239,260,243,239,4.9,5.7,13.5,5.7,0.4,1.2,1.9,0.8,1.1,4.8,4.8,1,14,1,11.4,39,1,32,0.014,0.1738,0.1922,-0.2214,-0.8487,0.11,0.009,0.3067,0.1487,-0.3415,-0.7494,0.1,0.011,0.1965,0.5612,-0.2923,-0.0482,0.15,0.014,0.0608,0.7177,-0.2007,-0.1937,0.11,0.086,0.0672,0.4322,-0.3963,0.2402,0.31,0.465,-0.0744,0.336,-0.3943,0.6077,0.53,0.372,0.0588,0.4364,-0.3336,0.5431,0.37,0.187,-0.0922,0.245,-0.3,0.753,0.34,0.322,0.0083,-0.1197,-0.4393,0.6623,0.5,0.139,-0.0747,-0.1097,-0.2225,0.7323,0.46,0.415,-0.167,-0.1352,-0.3915,0.8598,0.48,0.437,-0.2002,-0.0348,-0.2963,0.9261,0.44,0.609,-0.3664,0.0187,-0.4838,0.9044,0.35,0.949,-0.5089,-0.0874,-0.6012,0.9231,0.35,1.116,-0.4273,-0.3282,-0.6901,0.8668,0.41,0.501,-0.4708,-0.2542,-0.6346,0.9089,0.37,0.468,-0.5146,-0.2121,-0.6804,0.7987,0.38,0.485,-0.4364,-0.4113,-0.697,0.7431,0.47,0.309,0,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,62047,2026,5,18,4,0,133,1,49.91,-2.9,0,0,0,0,0,0,1,1.5,225,226,236,225,4.7,5.7,12.8,5.7,0.5,1.5,2.1,1,1.2,4.5,4.7,1.2,35,1,11.4,39,1,32,0.027,-0.0293,-0.0463,-0.0883,-0.9231,0.04,0.028,-0.0174,0.4991,-0.0968,-0.7636,0.05,0.029,-0.0658,0.8063,-0.133,-0.3423,0.07,0.013,-0.0737,0.6487,0.0376,-0.0463,0.08,0.047,0.054,0.5046,-0.1425,0.2137,0.16,0.357,-0.2371,0.34,-0.4648,0.2856,0.41,0.578,-0.44,0.2876,-0.4671,0.6091,0.48,0.382,-0.3622,-0.1064,-0.5024,0.5697,0.49,0.293,-0.2222,-0.1988,-0.3816,0.3398,0.58,0.235,-0.2228,-0.2095,-0.3655,0.5609,0.48,0.331,-0.2196,0.015,-0.4263,0.4932,0.57,0.396,-0.1185,0.2619,-0.0544,0.5889,0.32,0.538,-0.5535,0.3691,-0.3605,0.682,0.33,0.964,-0.6102,0.0907,-0.4639,0.6593,0.46,1.587,-0.5211,-0.0684,-0.5259,0.4557,0.59,0.646,-0.3121,-0.1333,-0.6001,0.4164,0.57,1.108,-0.2666,-0.4559,-0.6925,0.3452,0.61,0.536,-0.24,-0.1639,-0.6028,0.3997,0.68,0.605,-0.2615,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,62047,2026,5,18,5,0,133,1,49.91,-2.9,0,0,0,0,0,0,1,1.4,239,239,251,259,4.4,11.1,11.1,4.4,0.5,1.3,2.2,1.3,1.2,4.5,4.4,1.3,46,1,11.4,39,1,32,0.007,-0.2677,-0.2772,0.3272,-0.1189,0.04,0.009,-0.0943,-0.4834,0.4013,-0.1837,0.05,0.006,-0.0606,-0.4559,0.0323,0.0919,0.05,0.005,-0.0826,-0.0614,0.2254,-0.4846,0.06,0.033,-0.2918,0.0404,-0.1093,-0.1328,0.18,0.155,-0.2566,0.1758,-0.2709,0.1599,0.53,0.41,-0.2937,-0.0882,-0.4111,0.4138,0.65,0.705,-0.1794,-0.1271,-0.5899,0.0481,0.81,0.536,-0.2746,0.0951,-0.3108,0.1861,0.76,0.277,-0.0438,0.004,0.0557,-0.0996,0.48,0.277,-0.1181,-0.2275,-0.0848,-0.0604,0.27,0.17,-0.0852,-0.059,-0.077,-0.2741,0.16,0.24,-0.3182,-0.0547,-0.3006,0.2158,0.22,0.261,-0.1026,-0.3149,-0.5514,0.0695,0.32,0.518,-0.2106,-0.3965,-0.577,0.116,0.45,0.711,-0.2396,-0.4922,-0.6825,0.2088,0.6,0.763,-0.159,-0.6178,-0.6556,0.216,0.77,0.504,-0.3202,-0.1502,-0.6291,0.4237,0.6,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,62047,2026,5,18,6,0,133,1,49.91,-2.89,0,0,0,0,0,0,1,1.7,264,257,268,264,4.4,4.9,11.1,4.9,0.6,1.6,2.6,1.4,1.5,4.8,4.3,1.6,21,1,11.4,39,1,32,0.051,-0.4249,0.7955,0.1254,0.0263,0.07,0.02,-0.1974,0.3704,-0.0237,0.7353,0.06,0.071,-0.1987,-0.0666,0.0358,0.7836,0.1,0.028,0.0129,-0.2553,0.2248,0.7536,0.1,0.062,0.0867,-0.5947,0.1193,0.5554,0.11,0.23,0.0186,-0.7942,-0.2266,0.258,0.28,0.757,-0.0176,-0.9013,-0.7174,0.0451,0.49,0.647,-0.0944,-0.7866,-0.1776,-0.1272,0.49,0.442,0.0531,-0.5853,-0.297,-0.3073,0.52,0.384,-0.0929,-0.7038,-0.2623,-0.2487,0.42,0.241,-0.1379,-0.6081,0.0334,-0.3381,0.33,0.195,-0.0246,-0.7831,0.0407,0.0117,0.24,0.305,-0.0418,-0.916,-0.5248,-0.0277,0.19,0.378,-0.064,-0.8064,-0.5201,-0.0762,0.37,0.72,-0.1695,-0.6339,-0.633,0.1531,0.61,0.923,0.0712,-0.5428,-0.7488,-0.3665,0.63,1.406,-0.1001,-0.7142,-0.8169,0.0468,0.6,1.307,-0.0401,-0.6645,-0.7946,-0.0791,0.79,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,62047,2026,5,18,7,0,133,1,49.91,-2.89,0,0,0,0,0,0,1,2,263,242,259,263,4.6,5.3,10.2,5.3,0.5,1.9,3.4,2.3,2.1,5.8,4.5,1.9,20,1,11.4,39,1,32,0.088,-0.2676,0.2226,-0.3943,0.114,0.16,0.041,-0.1795,0.3271,-0.1403,0.2511,0.12,0.099,-0.1357,-0.058,-0.2392,0.7206,0.14,0.161,0.0345,-0.2496,-0.2921,0.6032,0.15,0.12,-0.1256,-0.2739,-0.135,0.7522,0.17,0.217,-0.1447,-0.2731,-0.0992,0.73,0.19,0.472,-0.0711,-0.5973,-0.5317,0.5373,0.34,0.61,-0.0731,-0.5257,-0.1974,0.5561,0.39,0.821,-0.0609,-0.4289,-0.1533,0.6293,0.54,0.275,-0.2028,-0.5153,-0.3328,0.4065,0.45,0.511,-0.0916,-0.4679,-0.1461,0.2394,0.62,0.423,-0.1664,-0.49,-0.1382,0.4286,0.41,0.375,0.0155,-0.6458,-0.0548,0.5029,0.39,1.412,-0.1491,-0.773,-0.5803,0.4369,0.5,1.505,-0.2254,-0.7274,-0.7611,0.4824,0.56,2.917,-0.1239,-0.7696,-0.8602,0.2805,0.64,1.501,-0.132,-0.789,-0.8529,0.2188,0.6,1.949,-0.2225,-0.5805,-0.7946,0.3788,0.85,1.154,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,62047,2026,5,18,8,0,133,1,49.91,-2.89,0,0,0,0,0,0,1,1.9,266,263,259,266,4.8,5.7,12.2,5.7,0.6,1.8,2.9,1.5,1.5,5.5,4.8,1.7,11,1,11.4,39,1,32,0.006,0.0656,0.6403,0.2804,-0.4145,0.08,0.022,-0.0382,0.6548,0.2328,0.2961,0.15,0.03,-0.1313,0.4741,0.1803,0.3651,0.14,0.044,-0.4232,0.1923,0.1594,0.4963,0.15,0.048,-0.2469,0.0101,0.0525,0.4227,0.21,0.341,0.0077,-0.4894,-0.0398,0.5998,0.43,0.814,-0.015,-0.4409,-0.2451,0.4378,0.55,0.56,-0.004,-0.5953,-0.1564,0.4896,0.49,0.361,-0.0369,-0.6318,-0.2996,0.2164,0.47,0.363,0.0982,-0.6925,-0.1242,0.1958,0.49,0.631,-0.0794,-0.6837,-0.1018,0.5383,0.61,0.56,-0.0509,-0.6922,-0.2922,0.4926,0.63,0.777,-0.1374,-0.6428,-0.236,0.423,0.52,0.772,-0.0776,-0.8251,-0.525,0.2339,0.49,2.185,-0.0634,-0.9382,-0.7974,0.1606,0.53,1.848,-0.1293,-0.8854,-0.8695,0.1816,0.58,1.737,-0.1285,-0.8632,-0.8076,0.1681,0.66,1.159,-0.2031,-0.7991,-0.7793,0.3876,0.76,1.132,0,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
